Name,Link,Year,Author,Dataset,Method,Result,
Skin Cancer Detection Based on YOLOv8 Through A Mobile Application,https://drive.google.com/file/d/16zwo7V540-XRlL3nhpKSarwPpXv3oYLT/view,2024,"Numan Deniz, Canan Tastimur",HAM10000,YOLOv8,"Accuracy: 92.80%, mAP50: 0.928",
,,,,,Feature Extraction (CNN),"Precision: 0.850, Recall: 0.889",
,,,,,Mobile Application (Roboflow),Effective in early detection of skin cancer,
Employing Up-sampling and Augmentation for Imbalanced Datasets in Skin Cancer Classification using CNN Architecture,https://drive.google.com/file/d/1ifHUAtFnmtyDCS_HSQ8unEAw2Scsceud/view,2024,"Thalita Dewi Rahmaniar, Inung Wijayanto, Ayu Sekar Safitri, Sugondo Hadiyoso, Ihsan Maulidin",HAM10000,ResNet-50,Accuracy: 98%,
,,,,,Up-sampling,,
,,,,,Data Augmentation,,
,,,,,Resize,,
,,,,,Classification Report,,
,,,,,Confusion Matrix,,
,,,,,ROC and AUC,,
,,,,,Comparison with Studies,,
An Intelligent System For Skin Cancer Detection Using Deep Learning Techniques,https://drive.google.com/file/d/1hdki3A36aK-qz3SR2VnbEWyrbTRM_cAC/view,2024,"Vani Rajasekar, Santhosh A, Nirmala Devi K, Saran S, Sathya K, Senthilvel K, Kongu Engineering College, India",Skin Cancer MNIST HAM10000,Convolutional Neural Network (CNN),Accuracy: 98.10%,
,,,,,Data Augmentation,,
,,,,,Random Over Sampling,,
,,,,,Learning Rate Reduction,,
,,,,,Batch Normalization,,
,,,,,CNN with multiple layers,,
,,,,,Confusion Matrix,,
,,,,,Multi-Class Classification,,
,,,,,Adamax Optimizer,,
,,,,,Dynamic Learning Rate,,
,,,,,Dropout (20%),,
EfficientNetV2-Based Deep Learning Classifier for Skin Cancer Lesion on Imbalanced Dataset,https://drive.google.com/file/d/1JB25b3te7BkJBKhFhBCjFWiRE9Dg6fgM/view,2024,"Muhammad Franklin Yusuf, Thalita Dewi Rahmaniar, Inung Wijayanto, Fityanul Akhyar, Rosya Satria Firdhaust",HAM10000,EfficientNetV2-B2,Accuracy: 89%,
,,,,,Adamax optimizer,Precision: 81%,
,,,,,Learning rate 0.001,Recall: 80%,
,,,,,Batch size 64,F1-score: 80%,
,,,,,50 epochs,,
,,,,,Horizontal/Vertical flipping,,
,,,,,Resize 260×260,,
,,,,,Data augmentation,,
,,,,,Fine-tuning EfficientNetV2-B2,,
,,,,,Confusion Matrix,,
,,,,,Comparison with previous studies,,
,,,,,Evaluation metrics,,
SPCB-Net: A Multi-Scale Skin Cancer Image Identification Network Using Self-Interactive Attention Pyramid and Cross-Layer Bilinear-Trilinear Pooling,https://drive.google.com/file/d/14TbSs1ztpvT3tOEmUnjbtPTilWAmuQ0l/view,2024,"Xin Qian, Tengfei Weng, Qi Han, Chen Wu, Hongxiang Xu, Mingyang Hou, Zicheng Qiu, Baoping Zhou, Xianqiang Gao","HAM10000, NCT-CRC-HE-100K","Multi-scale CNN using self-interactive attention pyramid, cross-layer bilinear-trilinear pooling, global average algorithm","HAM10000: 97.10% accuracy, NCT-CRC-HE-100K: 99.87% accuracy, 0.4% improvement over SOTA",JOURNAL
Enhancing Skin Cancer Classification Using EfficientNet-Based Architectures	,https://drive.google.com/file/d/14eSBvWlOqg7yP_z1-aQ2vkpd03tx6BXr/view,2024,"Naufal Tauhid Dinitra, Ayu Sekar Safitri, Inung Wijayanto, Fityanul Akhyar, Rosya Satria Firdhaust",HAM10000,EfficientNet B0 to B4 with data augmentation and fine-tuning,"Best model: EfficientNet B3, 87.75% accuracy",
,,,,,Scenario 1: No augmentation,79.04% accuracy,
,,,,,Scenario 2: Augmentation (Flip),80.98% accuracy (best),
,,,,,Scenario 3: Fine-tuning (B3),87.75% accuracy (best),
,,,,,Data Augmentation (Flip),80.78% accuracy,
,,,,,Fine-tuning (Unfreeze layers),85.20% accuracy,
,,,,,Flip augmentation results in shorter training time (713s),80.78% accuracy,
"Skin Cancer Diagnosis using Deep Learning, Transfer Learning and Hybrid Model",https://drive.google.com/file/d/1BxWloGVVf-4-_0wldTiuX9zQ1O4s1y46/view,2024,"Ravi Prakash, Trilok Nath Pandey, Bibhuti Bhusan Dash, Sudhansu Shekhar Patra, Utpal Chandra De, Abinash Tripathy",HAM10000 Dataset,CNN,"Accuracy: 75.91%, Precision: 70.54%, Recall: 81.52%, AUC: 74.35%",
,,,,,VGG19,"Accuracy: 96.05%, Precision: 95.05%, Recall: 96.55%, AUC: 96.01%",
,,,,,ResNet152V2,"Accuracy: 99.47%, Precision: 99.57%, Recall: 99.43%, AUC: 99.47%",
,,,,,MobileNetV3Large,"Accuracy: 98.97%, Precision: 98.34%, Recall: 99.02%, AUC: 98.75%",
,,,,,Hybrid Transfer Learning,"Outperformed individual models with higher accuracy, precision, recall, and AUC.",
Advancements of Skin Cancer Classification using Transfer Learning Segmentation,https://drive.google.com/file/d/1nnM2Ui1D2IA0BYzwEdNyZKadxjyFLTgs/view,2024,"Kiran Kumar Kaveti, Makineni Sai Ravali, Boddu Deepthi, Vaddula Baby Sravya",ISIC Dataset,CNN + ResNet101,"Accuracy: 93%, Weighted accuracy: 92%, High performance in distinguishing cancer types from skin images",
,,,,,Transfer Learning,Improved classification with data augmentation and class-weighted loss,
,,,,,ResNet101,"Achieved better results than baseline models, good for early skin cancer diagnosis",
Analysis of Skin Lesion Classification using Computational Models,https://drive.google.com/file/d/1_ublkB3fV7z0_KwenydnYT8TvJzQEG3k/view,2024,"Chalana B Arun, Ashwini Kodipalli, Anusha M, Trupthi Rao",HAM10000 Dataset,KNN,"Before balancing: Accuracy: 70.13%, After SMOTE: Accuracy: 68.28%, After SMOTE-ENN: Accuracy: 89.65%",
,,,,,Random Forest,"Before balancing: Accuracy: 71.38%, After SMOTE: Accuracy: 83.47%, After SMOTE-ENN: Accuracy: 90.65%",
,,,,,SVM-Linear,"Before balancing: Accuracy: 67.36%, After SMOTE: Accuracy: 73.78%, After SMOTE-ENN: Accuracy: 87.62%",
,,,,,SVM-Polynomial,"Before balancing: Accuracy: 70.73%, After SMOTE: Accuracy: 82.06%, After SMOTE-ENN: Accuracy: 91.43%",
,,,,,KNN,"F1: 0.90, Precision: 0.90, Recall: 0.90 (after SMOTE-ENN)",
,,,,,Random Forest,"F1: 0.90, Precision: 0.91, Recall: 0.91 (after SMOTE-ENN)",
,,,,,SVM-Linear,"F1: 0.88, Precision: 0.88, Recall: 0.88 (after SMOTE-ENN)",
,,,,,SVM-Polynomial,"F1: 0.91, Precision: 0.91, Recall: 0.91 (after SMOTE-ENN)",
Deep Learning for Skin Disease Detection,https://drive.google.com/file/d/1twsncRBQ38AwRV0a5V21bBGk6dC-ndjr/view,2024,"Prabhakara Rao Kapula, Alapati Teja Satya Sai, Srishma Tunki, Tejaswini Sopirala, Sathwik Thoutireddy, Gowtham Vedantham",HAM10000 Dataset,Xception (fine-tuned),"Accuracy: 96.16%, Precision: 96.92%, Recall: 95.67%, F1-Score: 96.27%",
,,,,,Data Augmentation,"Improved robustness through rotation, flipping, and scaling.",
,,,,,Transfer Learning,"Leveraged pre-trained CNN architectures (VGG16, ResNet50, DenseNet169).",
,,,,,Xception vs Others,"Xception outperformed VGG16, ResNet50, DenseNet169, DenseNet201 in accuracy.",
,,,,,Web Interface Integration,Enabled real-time predictions via a user-friendly web platform.,
Skin Lesion Classification Using Deep Learning Techniques,https://drive.google.com/file/d/1kKMi33coMTBM839JzsrCr_SbY7cZ1Uht/view?usp=drive_link,2024,"Het Patel, Darshak Thakore, Narendra Patel",HAM10000,CNN,87.34%,
,,,,,VGG-16,91.04%,
,,,,,EfficientNetB7,92.12%,
,,,,,InceptionResNetV2,90.89%,
,,,,,ResNet50,93.29%,
,,,,,DenseNet201,94.93%,
Enhanced Skin Cancer Detection Model,https://drive.google.com/file/d/1_zOQzfO9NBb1NOLzp5c-UdjZLezKPk43/view,2024,"Parekh Ved Hemantkumar, Biswajeet Samal, Rudra Narayan Panda, SK Shahid Akhtar, Debendra Muduli, Santosh Kumar Sharma","HAM10000, Dermis.net",Convolutional Neural Network (CNN),"Accuracy: 96.50%, Training Loss: 0.1118",
,,,,,Residual Neural Network (ResNet50),"Accuracy: 96.50%, Training Loss: 0.1374",
,,,,,Support Vector Machine (SVM),"Accuracy: 96.75%, Precision: 97.46%, Recall: 96.0%, F1 Score: 96.72%",
,,,,,Extreme Learning Machine (ELM),"Accuracy: 98.00%, Precision: 98.00%, Recall: 98.00%, F1 Score: 98.00%",
,,,,,Combined Features (CNN + ResNet50 + ELM),"Accuracy: 98.00%, Precision: 98.00%, Recall: 98.00%, F1 Score: 98.00%",
A Wavelet Guided Attention Module for Skin Cancer Classification with Gradient-Based Feature Fusion,https://drive.google.com/file/d/13JOGTEDNYeB6QFxfV4ytpAcjOkrknChu/view,2024,"Ayush Roy, Sujan Sarkar, Sohom Ghosal, Dmitrii Kaplun, Asya Lyanova, Ram Sarkar",HAM10000,DenseNet-121 + Soft Attention + Gradient-based feature fusion,"Accuracy: 90.75%, F1-score: 91.17%",
,,,,,MobileNet-v2,"Accuracy: 79.03%, F1-score: 78.60%",
,,,,,ResNet50,"Accuracy: 84.66%, F1-score: 83.31%",
,,,,,DenseNet-121,"Accuracy: 85.89%, F1-score: 84.85%",
Skin Cancer Detection and Intensity Analysis using Deep Learning,https://drive.google.com/file/d/1A9aZdMYHKiDfvuH0EWxxbvj_N-zZHyFR/view,2024,"Kaja Narayana Rao, Goriparti Naga Venkata Sai, A. V. P. Rajesh, Krovvidi Dinesh Kumar, Kotamraju Revanth Sai Karthik",HAM10000,Inception V3,85.94%,
,,,,,DenseNet 201,87.42%,
,,,,,Ensemble Model,85.94%,
Skin Cancer Diagnosis using Deep Convolutional Generative Adversarial Network for Image Classification,https://drive.google.com/file/d/1h2fYiml0KaOlDTaHvPp6_P1rebNZQHur/view,2024,"D. Sree Lakshmi, A. Divya, Moturu Bhargavi Sai, Kolusu Dharani Rama, Kommu Joshna Rani, Murali Vakkalagadda",HAM10000,Deep Convolutional Generative Adversarial Network (DCGAN),Accuracy: 97.80%,
,,,,,,Precision: 95.60%,
,,,,,,Recall: 96.50%,
,,,,,,F1-Score: 97.40%,
,,,,,CNN,Accuracy: 95.50%,
,,,,,,Precision: 93.20%,
,,,,,,Recall: 94.10%,
,,,,,,F1-Score: 94.30%,
,,,,,,EfficientNet B4,
,,,,,,Precision: 92.50%,
,,,,,,Recall: 93.10%,
,,,,,,F1-Score: 92.80%,
Skin Cancer Detection Using Ensemble CNN Models for Improved Diagnosis,https://drive.google.com/file/d/1DTFSVWdv8sRUlI3NxzFJsVWm62NPnlNk/view,2024,"Sahaaya Arul Mary S A, Kartik Kumar Gounder, Devdatta Anil Wagh",HAM10000 Dataset,Ensemble of ResNet50,Achieved 96.33% accuracy in skin cancer classification,
,,,,,EfficientNetB0,Surpassed other models in classification accuracy,
,,,,,MobileNet,Contributed to the improved performance of the ensemble,
Deep Learning for Skin Lesion Classification using Pre-Trained Neural Networks,https://drive.google.com/file/d/1uVZiUqkR3J7p53bo3tPLZvMze-jaMcf1/view,2024,"Anjali M, Sowmya P",HAM10000,Fine-tuning VGG16,"Validation: 85.9%, Test: 85.3%",
,,,,,Fine-tuning Inception V3,"Validation: 87.4%, Test: 87.1%",
,,,,,Fine-tuning Inception ResNet V2,"Validation: 88.3%, Test: 87.9%",
,,,,,Fine-tuning DenseNet 201,"Validation: 89.2%, Test: 88.4%",
,,,,,Ensemble Learning (Inception V3 & DenseNet 201),"Best Result: Validation: 88.8%, Test: 88.52%",
Novel Mixed Domain Hand-Crafted Features for Skin Disease Recognition Using Multiheaded CNN,https://drive.google.com/file/d/1T9xI9Uu_ByTjIa2norhOp5xF0ncreCGT/view,2024,"Anurodh Kumar, Amit Vishwakarma, Varun Bajaj, Shivam Mishra","HAM10000, Dermnet","Multiheaded CNN with hand-crafted features from spatial, spectrogram, and cepstrum domains","HAM10000: 89.71% accuracy, Dermnet: 88.57% accuracy",JOURNAL
Early Detection of Multiclass Skin Lesions Using Transfer Learning-Based IncepX-Ensemble Model,https://drive.google.com/file/d/1WIPHhqbyDhOhdLE5oZGFpcrXaQ_PYL7Y/view,2024,"S. Chatterjee, et al.",HAM10000,IncepX-Ensemble model combining InceptionV3 and Xception with data augmentation,Imbalanced dataset: 86% accuracy; Balanced dataset: 98% training and test accuracy,JOURNAL
Multi-Class Skin Cancer Classification Using Modified MobileNet Architecture,https://drive.google.com/file/d/1fnqO0L97rpg7TaNpJmUOpHqdJVu1rQG8/view,2024,"Mst Tasrima Sultana, Md. Bashir Uddin",HAM10000,Modified MobileNet Architecture,"Validation Accuracy: 93.2%, Sensitivity: 93%, Precision: 93%, F1-Score: 94%, Specificity: 93%, Loss: 0.23",
,,,,,Top-2 Accuracy,"Training: 99%, Validation: 97%",
,,,,,Top-3 Accuracy,"Training: 100%, Validation: 99%",
,,,,,Class-wise Results,"NV: 96%, VASC: 92%, BCC: 82%, BKL: 80%, AKIEC: 75%, DF: 83%, MEL: 62%",
,,,,,Comparison with Other Models,"Modified MobileNet outperforms traditional MobileNet and other models like ResNet-50, Inception-V3, and VGG-16",
Deep Learning-based Skin Cancer Diagnosis using Dermoscopy Images,https://drive.google.com/file/d/1kzR6qJkROC-9iaYLYheZNn6D-zXGDp2J/view,2024,Vinayakumar Ravi,"ISIC Archive, HAM10000",EfficientNet-based transfer learning,"Achieved 98% accuracy for SCD, 99% for SCC.",
,,,,,"Stacked Ensemble (SVM, Gradient Boosting, Logistic Regression)","Improved performance compared to individual models, reduced misclassification.",
,,,,,"Stacked Ensemble (SVM, Gradient Boosting, Logistic Regression)","Precision, recall, and F1 scores close to optimal values for skin cancer detection.",
SkinNet: An Improved Skin Cancer Classification System Using Convolutional Neural Network,https://drive.google.com/file/d/1L2TgdQZCqCkfKQNXQjAV3GjPSdxFfUGF/view,2024,"Diponkor Bala, Md. Ibrahim Abdullah, Mohammad Alamgir Hossain, Mohammad Anwarul Islam, Md. Atiqur Rahman, Md. Shamim Hossain",HAM10000,CNN,98.60% accuracy,
,,,,,SMOTE,98.60% accuracy,
Skin Lesion Detection and Classification Using Machine Learning,https://drive.google.com/file/d/1xtzrtij13dkNeXxZkQFtRfoJekUdGtZq/view,2024,"H M Layes Delower, Tasin Mohammad, Shifath Jahan Prity, Maliha Binta Islam, Mohammod Tahseen Mansoor, Ehsanur Rahman Rhythm, Annajiat Alim Rasel",HAM10000,SVM,Accuracy: 94.8%,
,,,,,Decision Tree,Accuracy: 94.3%,
,,,,,Random Forest,Accuracy: 94.1%,
,,,,,KNN,Accuracy: 93.7%,
Skin Lesion 7 Class Classification using MobileNetV2 CNN,https://drive.google.com/file/d/1JULZSTtTvQ9c93NYmzZ39CqPAO3kj_zn/view,2024,"Manglesh Kumar, Harsh Khulbe, Vikas, Mohd Zaid Khan",HAM10000,MobileNetV2 CNN,Categorical Accuracy: 90.30%,
,,,,,Top 2 Accuracy,96.91%,
,,,,,Data Augmentation,Improved training and validation performance,
,,,,,Data Up-sampling,Balanced dataset with minority class duplication,
,,,,,Transfer Learning,Efficient model fine-tuned with pre-trained MobileNetV2,
Analysis and Prediction of Skin Cancer Disease using Ensemble CNN Technique,https://drive.google.com/file/d/1JzLfjacMwA1w30w9LbHXJdtQNCoNk_67/view,2024,"Wieslaw Samushonga, Rakesh Kumar, Meenu Gupta, Ahmed J. Obaid",HAM10000 Dataset,Ensemble CNN (Weighted Ensemble),Model 1: 72.83%,
,,,,,,Model 2: 68.33%,
,,,,,,Model 3: 70.92%,
,,,,,,Average Ensemble: 73.22%,
,,,,,,"Optimum Weighted Ensemble (Grid Search, [0.3, 0.3, 0.2]): 74.23%",
INTELLIGENT SEGMENTATION AND CLASSIFICATION FOR SKIN CANCER PREDICTION,https://drive.google.com/file/d/1QpGps-mekwQGL2LOCzVUK4BwOB69STCu/view,2024,"Kavitha S, Shalini R, Harini Sree N, Akash J",HAM10000,Feature Pyramid Network (FPN) with ResNet34,Segmentation Accuracy >80%,
,,,,,Feature Pyramid Network (FPN) with DenseNet121,Segmentation Accuracy >70%,
,,,,,Feature Pyramid Network (FPN) with MobileNetV2,Segmentation Accuracy >75%,
,,,,,DenseNet121 for Classification,Classification Accuracy 80%,
,,,,,ResNet34 Backbone (Train),Train IOU 0.24,
,,,,,ResNet34 Backbone (Test),Test IOU 0.26,
,,,,,DenseNet121 Backbone (Train),Train IOU 0.19,
,,,,,DenseNet121 Backbone (Test),Test IOU 0.39,
,,,,,MobileNetV2 Backbone (Train),Train IOU 0.19,
,,,,,MobileNetV2 Backbone (Test),,
EFAM-Net: A Multi-Class Skin Lesion Classification Model Utilizing Enhanced Feature Fusion and Attention Mechanisms,https://drive.google.com/file/d/1UW14IPi17tqLkqXlw1nkThkj27pTcmka/view,2024,"Zhanlin Ji, Xuan Wang, Chunling Liu, Zhiwu Wang, Na Yuan, Ivan Ganchev","ISIC 2019, HAM10000, Private","EFAM-Net model with ARLC block, PCNXt block, MEAFF block; feature extraction, fusion, and attention mechanisms","Achieves 92.30%, 93.95%, and 94.31% accuracy on ISIC 2019, HAM10000, and a private dataset respectively; better lesion localization and robust to overfitting and gradient issues.",JOURNAL
